venue_id,latitude,longitude,weight,venue_name
V0-001-000439892-0,37.7709840,-122.4127360,0.5692122642983964,DNA Lounge
V0-001-000496744-7,37.7579210,-122.4182050,0.8576860843371941,Community Music Center
V0-001-001450416-8,37.7819162,-122.4323059,0.3035892281326982,Yoshi's San Francisco
V0-001-000163680-1,37.7595197,-122.4212704,0.3404892507292061,Amnesia Club
V0-001-000550476-8,37.72405529389727,-122.47936207409668,0.6500647506312005,San Francisco State University
V0-001-007059844-6,37.7874973,-122.4201820,0.22839261125424115,Lenny Kiser Ableton Trainer
V0-001-008289158-6,37.8027,-122.41,0.4973643127881996,Doc's Lab
V0-001-001417814-9,37.7997732,-122.4106372,0.30859870648828547,Pe&ntilde;a Pachamama
V0-001-000200118-1,37.7874188,-122.4099163,0.6975899537978801,Slide
V0-001-000226433-7,37.777601,-122.420354,0.44790318234936743,Louise M. Davies Symphony Hall
